cntr_01,dist_x,pang_x,source_01,ra_01,dec_01,ra_1,dec_1,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,RA_2,Dec_2,GLON,GLAT,Period,Distance,e_Dis,A_Ks,e_ext,Type,Jmag,Hmag,Ksmag,W1mag,W2mag,3.6mag,4.5mag,5.8mag,8.0mag,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RV,e_RV,v_z,e_v_z,H-W2,TC_rowSubsetFlags,GroupID,GroupSize,Separation
5,0.139577,145.36326,S0005,312.7534117,43.1399023,312.7534419,43.1398704,0.0284,0.026,-0.0071,7.085,0.018,60.9,45.18,7.035,0.015,73.8,1.763,1,0,0000,AA,5,58428.16223774,3134142401351054224,6.955,0.04,6.997,0.019,7.043,0.019,7.089,0.156,1142634878,8.284,0.0227,7.551,0.0325,7.204,0.0241,312.7534117,43.1399023,83.6863291,-0.6801614,8.72109,3.173,0.084,0.256,0.049,0,8.284,7.551,7.204,6.955,6.997,9999.0,9999.0,9999.0,9999.0,0.3205,0.0388,-2.719,0.066,-3.149,0.065,-19.53,4.98,8.91,1.0,0.5540000000000003,0,5,323,0.0
5,0.13991,157.479103,S0005,312.7534117,43.1399023,312.7534321,43.1398664,0.0304,0.0268,0.0106,6.412,0.024,44.8,4.84,6.889,0.012,87.1,5.485,1,0,0000,AA,5,58793.01573604,3134142401351054224,6.955,0.04,6.997,0.019,7.043,0.019,7.089,0.156,1142634878,8.284,0.0227,7.551,0.0325,7.204,0.0241,312.7534117,43.1399023,83.6863291,-0.6801614,8.72109,3.173,0.084,0.256,0.049,0,8.284,7.551,7.204,6.955,6.997,9999.0,9999.0,9999.0,9999.0,0.3205,0.0388,-2.719,0.066,-3.149,0.065,-19.53,4.98,8.91,1.0,0.5540000000000003,0,5,323,0.0
5,0.140226,28.902166,S0005,312.7534117,43.1399023,312.7534375,43.1399364,0.0311,0.0263,0.0077,6.558,0.02,53.1,7.723,6.866,0.014,78.1,10.15,1,0,0000,AA,5,58633.02330568,3134142401351054224,6.955,0.04,6.997,0.019,7.043,0.019,7.089,0.156,1142634878,8.284,0.0227,7.551,0.0325,7.204,0.0241,312.7534117,43.1399023,83.6863291,-0.6801614,8.72109,3.173,0.084,0.256,0.049,0,8.284,7.551,7.204,6.955,6.997,9999.0,9999.0,9999.0,9999.0,0.3205,0.0388,-2.719,0.066,-3.149,0.065,-19.53,4.98,8.91,1.0,0.5540000000000003,0,5,323,0.0
5,0.144386,-60.417408,S0005,312.7534117,43.1399023,312.7533639,43.1399221,0.0329,0.0252,0.013,6.522,0.025,43.1,3.543,6.888,0.013,86.9,6.48,1,0,0000,AA,5,57533.31168936,3134142401351054224,6.955,0.04,6.997,0.019,7.043,0.019,7.089,0.156,1142634878,8.284,0.0227,7.551,0.0325,7.204,0.0241,312.7534117,43.1399023,83.6863291,-0.6801614,8.72109,3.173,0.084,0.256,0.049,0,8.284,7.551,7.204,6.955,6.997,9999.0,9999.0,9999.0,9999.0,0.3205,0.0388,-2.719,0.066,-3.149,0.065,-19.53,4.98,8.91,1.0,0.5540000000000003,0,5,323,0.0
5,0.147312,-124.708697,S0005,312.7534117,43.1399023,312.7533656,43.139879,0.0307,0.0307,-0.0166,6.441,0.026,42.1,5.245,6.78,0.016,65.8,3.219,1,0,0000,AA,5,57169.90820595,3134142401351054224,6.955,0.04,6.997,0.019,7.043,0.019,7.089,0.156,1142634878,8.284,0.0227,7.551,0.0325,7.204,0.0241,312.7534117,43.1399023,83.6863291,-0.6801614,8.72109,3.173,0.084,0.256,0.049,0,8.284,7.551,7.204,6.955,6.997,9999.0,9999.0,9999.0,9999.0,0.3205,0.0388,-2.719,0.066,-3.149,0.065,-19.53,4.98,8.91,1.0,0.5540000000000003,0,5,323,0.0
5,0.148143,133.066912,S0005,312.7534117,43.1399023,312.7534529,43.1398742,0.0256,0.0228,0.0112,6.898,0.024,45.4,1.268,7.047,0.011,97.3,2.406,1,0,0000,AA,5,57348.19245301,3134142401351054224,6.955,0.04,6.997,0.019,7.043,0.019,7.089,0.156,1142634878,8.284,0.0227,7.551,0.0325,7.204,0.0241,312.7534117,43.1399023,83.6863291,-0.6801614,8.72109,3.173,0.084,0.256,0.049,0,8.284,7.551,7.204,6.955,6.997,9999.0,9999.0,9999.0,9999.0,0.3205,0.0388,-2.719,0.066,-3.149,0.065,-19.53,4.98,8.91,1.0,0.5540000000000003,0,5,323,0.0
5,0.148486,154.089415,S0005,312.7534117,43.1399023,312.7534364,43.1398652,0.0288,0.0252,0.0126,6.571,0.022,50.1,2.218,6.836,0.013,86.1,1.802,1,0,0000,AA,10,56986.78937191,3134142401351054224,6.955,0.04,6.997,0.019,7.043,0.019,7.089,0.156,1142634878,8.284,0.0227,7.551,0.0325,7.204,0.0241,312.7534117,43.1399023,83.6863291,-0.6801614,8.72109,3.173,0.084,0.256,0.049,0,8.284,7.551,7.204,6.955,6.997,9999.0,9999.0,9999.0,9999.0,0.3205,0.0388,-2.719,0.066,-3.149,0.065,-19.53,4.98,8.91,1.0,0.5540000000000003,0,5,323,0.0
5,0.149597,85.859959,S0005,312.7534117,43.1399023,312.7534685,43.1399053,0.0245,0.0204,0.0104,6.729,0.019,57.7,3.935,7.034,0.011,99.0,3.637,1,0,0000,AA,10,56990.73342006,3134142401351054224,6.955,0.04,6.997,0.019,7.043,0.019,7.089,0.156,1142634878,8.284,0.0227,7.551,0.0325,7.204,0.0241,312.7534117,43.1399023,83.6863291,-0.6801614,8.72109,3.173,0.084,0.256,0.049,0,8.284,7.551,7.204,6.955,6.997,9999.0,9999.0,9999.0,9999.0,0.3205,0.0388,-2.719,0.066,-3.149,0.065,-19.53,4.98,8.91,1.0,0.5540000000000003,0,5,323,0.0
5,0.150083,58.472227,S0005,312.7534117,43.1399023,312.7534604,43.1399241,0.0282,0.0293,0.0085,6.958,0.02,53.9,24.59,6.892,0.014,77.1,2.042,1,0,0000,AA,5,58792.55782898,3134142401351054224,6.955,0.04,6.997,0.019,7.043,0.019,7.089,0.156,1142634878,8.284,0.0227,7.551,0.0325,7.204,0.0241,312.7534117,43.1399023,83.6863291,-0.6801614,8.72109,3.173,0.084,0.256,0.049,0,8.284,7.551,7.204,6.955,6.997,9999.0,9999.0,9999.0,9999.0,0.3205,0.0388,-2.719,0.066,-3.149,0.065,-19.53,4.98,8.91,1.0,0.5540000000000003,0,5,323,0.0
5,0.150085,7.846502,S0005,312.7534117,43.1399023,312.7534195,43.1399436,0.0311,0.0288,-0.0078,6.324,0.029,37.9,4.724,6.835,0.013,86.3,6.002,1,0,0000,AA,5,57901.48232741,3134142401351054224,6.955,0.04,6.997,0.019,7.043,0.019,7.089,0.156,1142634878,8.284,0.0227,7.551,0.0325,7.204,0.0241,312.7534117,43.1399023,83.6863291,-0.6801614,8.72109,3.173,0.084,0.256,0.049,0,8.284,7.551,7.204,6.955,6.997,9999.0,9999.0,9999.0,9999.0,0.3205,0.0388,-2.719,0.066,-3.149,0.065,-19.53,4.98,8.91,1.0,0.5540000000000003,0,5,323,0.0
