Seq,w1mpro,w2mpro,mjd
204,13.473,12.75,57535.76179
204,13.418,12.751,57537.72738
204,13.421,12.741,57531.04431
204,13.462,12.691,57529.34091
204,13.42,12.806,57699.87002
204,13.436,12.625,57701.8351
204,13.326,12.725,57349.01901
204,13.505,12.786,57345.47785
204,13.409,12.764,57167.24366
204,13.399,12.687,57165.66875
204,13.482,12.734,57346.78944
204,13.38,12.729,57345.08437
204,13.394,12.818,57168.35901
204,13.51,12.759,57165.4063
204,13.323,12.692,57534.32033
204,13.313,12.653,57534.84445
204,13.369,12.846,57535.3687
204,13.462,12.77,57535.63076
204,13.466,12.671,57529.34078
204,13.508,12.703,57530.91328
204,13.432,12.755,57699.60796
204,13.452,12.689,57699.73899
204,13.365,12.699,57705.89643
204,13.398,12.785,57706.55145
204,13.53,12.926,57531.96165
204,13.503,12.66,57530.25813
204,13.493,12.642,57348.75682
204,13.367,12.767,57349.28132
204,13.412,12.834,57168.94973
204,13.462,12.702,57165.01258
204,13.411,12.819,57346.26481
204,13.376,12.686,57345.60901
204,13.551,12.771,57165.80003
204,13.419,12.73,57166.98109
204,13.471,13.122,57533.53415
204,13.611,12.82,57533.79621
204,13.437,12.81,57534.58239
204,13.455,12.738,57534.71342
204,13.465,12.678,57529.734
204,13.457,12.72,57530.65122
204,13.518,12.725,57700.65608
204,13.477,12.719,57703.80031
204,13.505,12.824,57707.20648
204,13.342,12.827,57705.63436
204,13.465,12.721,57530.78225
204,13.383,12.804,57531.3065
204,13.489,12.723,57346.39596
204,13.364,12.728,57347.83871
204,13.429,12.847,57169.34346
204,13.417,12.781,57166.71865
204,13.525,12.773,57348.88797
204,13.401,12.668,57345.34669
204,13.35,12.677,57166.19363
204,13.422,12.655,57167.37482
204,13.516,12.741,57168.55601
204,13.377,12.809,57699.34602
204,13.388,12.78,57698.95293
204,13.403,12.611,57533.92724
204,13.34,12.8,57534.05827
204,13.428,12.811,57533.0099
204,13.345,12.772,57529.60297
204,13.307,12.712,57702.3591
204,13.55,12.797,57704.19328
204,13.431,12.783,57705.50333
204,13.462,12.77,57706.02733
204,13.547,12.729,57705.3723
204,13.38,12.82,57342.46121
204,13.476,12.609,57347.18291
204,13.435,12.657,57344.6909
204,13.406,12.674,57168.22786
204,13.483,12.739,57164.88129
204,13.484,12.81,57348.4945
204,13.465,12.729,57347.57639
204,13.448,13.149,57168.68729
204,13.431,12.758,57165.79991
